1,Wakefield,Troake,10/09/1978,LB,POR,647
2,Herrick,Dumbare,27/07/1995,ID,DEL,959
3,Joella,Fincken,10/04/1963,GR,DEL,674
4,Stanwood,O'Dempsey,16/01/1995,CN,MC,569
5,Weidar,Hundey,14/10/1990,JP,POR,960
6,Sawyere,Olliar,10/02/1943,DE,DEL,522
7,Corinne,Devin,07/10/1942,GH,MC,348
8,Vonny,Deeny,22/04/2018,NA,MC,527
9,Wesley,Deniscke,09/11/1992,VE,DEL,460
10,Butch,Tebald,06/06/2007,BR,MC,264
11,Walden,O'Towey,28/04/1949,CN,DEL,884
12,Kelli,Salzburg,18/04/2010,CN,MC,322
13,Basil,Guerreru,27/03/1945,MX,POR,740
14,Jamal,Abramovici,23/09/1940,IE,POR,446
15,Agretha,Morena,31/07/1961,ID,DEL,429
16,Millard,Walworth,28/01/2007,CN,MC,910
17,Olimpia,Goodfellow,11/07/2001,FR,MC,214
18,Beryle,Sambath,10/06/1991,XK,DEL,624
19,Sindee,Ainsbury,20/06/1994,CN,MC,886
20,Ezekiel,Palethorpe,13/08/1951,KM,MC,560
21,Kerwin,Rosenstengel,17/12/1950,CN,DEF,349
22,Damaris,Balderston,12/11/1949,PS,DEL,539
23,Nelie,Galpen,02/12/1959,CN,DEF,937
24,Kessia,McFeat,04/05/1968,ID,MC,913
25,Joli,Finley,02/08/2008,PS,DEL,796
26,Flossie,Antonomolii,13/11/1965,RU,DEL,695
27,Anne-corinne,Helwig,04/10/2011,PT,DEL,672
28,Briney,Meharry,08/06/1964,ID,POR,676
29,Odella,Macilhench,07/12/1970,RU,DEL,565
30,Alberto,Moyes,21/07/1948,MW,DEL,476
31,Gradeigh,Whittaker,02/09/1945,CZ,DEL,742
32,Helge,De Mitris,11/06/1955,ID,POR,455
33,Verney,Cockell,27/03/1983,CN,DEL,945
34,Allyn,Cosin,26/09/1978,RS,POR,222
35,Wittie,Ghirardi,26/06/1983,FM,DEL,763
36,Dilly,Beckinsale,23/08/2013,CN,DEL,447
37,Gertrud,Kelwick,12/07/2013,PH,MC,422
38,Con,Denson,30/01/1972,CA,POR,537
39,Gregorius,Sallier,27/03/1963,DO,DEL,994
40,Cletis,O'Spillane,03/12/1940,BR,MC,394
41,Gabby,Briers,09/10/1990,ID,DEL,82
42,Tilly,Esley,01/04/1975,PE,DEL,225
43,Letti,Orgill,05/03/1947,CN,DEF,498
44,Mara,Desantis,25/03/1956,PT,DEL,943
45,Rosemarie,Leversuch,25/03/1977,PL,MC,134
46,Shell,Davey,16/05/1942,CN,DEL,719
47,Dahlia,Figger,24/01/1979,IL,DEF,583
48,Odetta,Feacham,22/06/1994,CN,POR,636
49,Randene,Coopper,30/06/1950,IE,DEL,68
50,Valeria,Riolfi,24/08/1993,CN,DEF,387
51,Maximilianus,Pendered,05/05/1973,LU,DEL,797
52,Orel,Mole,02/10/2003,AM,DEF,393
53,Gus,Haker,17/03/1941,FR,DEL,343
54,Osbourne,Gravenall,25/11/1973,CO,MC,44
55,Dalenna,Follacaro,01/01/1946,AF,DEL,542
56,Arv,Oliveras,28/08/1978,CN,DEL,915
57,Martguerita,Klainer,23/01/1993,PT,POR,163
58,Palm,Yuryshev,08/11/1983,RU,MC,941
59,Udell,Culwen,13/01/1988,PE,MC,874
60,Marya,Chrispin,02/08/1970,GE,MC,627
61,Freedman,Wondraschek,21/05/1953,NG,POR,17
62,Charlean,Pullan,19/08/2009,ID,MC,573
63,Lacey,Rummer,12/11/1997,MA,DEL,391
64,Culver,Maddick,02/09/1983,ID,DEL,469
65,Aldridge,Mewis,09/07/1960,FR,MC,573
66,Kamila,Joust,25/01/1962,CN,DEF,807
67,Barnie,Edsell,15/05/2014,CN,MC,504
68,Demetrius,Frandsen,09/01/1957,BR,MC,104
69,Ilsa,Abercrombie,25/10/1960,CN,POR,158
70,Sophie,Tippett,03/09/1955,CN,DEL,706
71,Drugi,Howett,05/04/1994,ID,DEL,930
72,Leonid,Impey,08/02/1941,PH,MC,234
73,Grenville,Eddicott,02/11/1946,IR,MC,777
